iter	Passed	Remaining
0	0	90
1	5	254
2	7	257
3	8	206
4	9	185
5	11	175
6	12	161
7	13	157
8	15	155
9	17	154
10	19	156
11	21	156
12	23	155
13	24	149
14	25	141
15	25	135
16	26	131
17	27	125
18	28	122
19	29	117
20	30	116
21	31	113
22	32	109
23	33	105
24	34	102
25	34	99
26	35	96
27	36	95
28	37	92
29	38	89
30	39	87
31	40	85
32	41	83
33	41	81
34	43	80
35	44	78
36	45	77
37	46	75
38	47	74
39	48	72
40	49	70
41	49	68
42	50	66
43	51	65
44	53	64
45	54	63
46	55	62
47	55	60
48	56	59
49	57	57
50	59	57
51	61	56
52	62	55
53	63	54
54	64	52
55	64	50
56	65	49
57	66	48
58	67	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	74	35
68	75	33
69	76	32
70	77	31
71	77	30
72	78	29
73	79	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	85	21
80	87	20
81	88	19
82	88	18
83	89	17
84	90	15
85	91	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	100	2
98	102	1
99	103	0
