iter	Passed	Remaining
0	191	191314
1	193	96637
2	195	65088
3	197	49301
4	200	39806
5	202	33559
6	204	29057
7	207	25726
8	209	23089
9	211	20965
10	214	19274
11	216	17829
12	219	16641
13	221	15623
14	224	14722
15	226	13924
16	228	13215
17	230	12589
18	232	12016
19	234	11497
20	237	11060
21	239	10635
22	241	10251
23	243	9898
24	245	9572
25	247	9284
26	250	9011
27	252	8767
28	255	8539
29	257	8316
30	260	8134
31	263	7963
32	266	7796
33	269	7649
34	270	7467
35	272	7302
36	275	7170
37	278	7050
38	280	6909
39	282	6784
40	285	6666
41	286	6532
42	288	6414
43	290	6315
44	292	6213
45	294	6112
46	297	6034
47	299	5948
48	301	5847
49	303	5764
50	305	5682
51	307	5611
52	310	5542
53	311	5460
54	314	5398
55	315	5318
56	317	5259
57	319	5192
58	321	5122
59	323	5066
60	325	5004
61	327	4954
62	328	4882
63	330	4836
64	331	4775
65	334	4731
66	336	4681
67	338	4634
68	340	4594
69	342	4544
70	344	4503
71	346	4463
72	348	4421
73	350	4385
74	352	4345
75	354	4310
76	356	4273
77	357	4230
78	359	4190
79	360	4144
80	362	4107
81	363	4068
82	364	4026
83	366	3998
84	368	3964
85	370	3934
86	372	3904
87	373	3873
88	375	3846
89	377	3817
90	379	3794
91	381	3768
92	383	3743
93	386	3721
94	387	3695
95	390	3680
96	392	3657
97	394	3633
98	396	3612
99	398	3589
100	400	3567
101	402	3547
102	404	3526
103	407	3507
104	409	3486
105	411	3467
106	413	3446
107	415	3428
108	417	3412
109	419	3396
110	422	3380
111	424	3362
112	426	3344
113	428	3331
114	430	3313
115	432	3295
116	434	3279
117	436	3264
118	439	3250
119	441	3236
120	443	3219
121	445	3203
122	447	3191
123	450	3179
124	452	3167
125	454	3155
126	456	3137
127	458	3125
128	460	3110
129	462	3096
130	464	3082
131	466	3069
132	469	3057
133	470	3042
134	472	3030
135	475	3019
136	477	3006
137	479	2996
138	481	2984
139	483	2971
140	486	2962
141	487	2947
142	490	2940
143	492	2930
144	494	2918
145	496	2906
146	498	2891
147	500	2880
148	502	2869
149	504	2857
150	507	2850
151	509	2842
152	512	2835
153	515	2829
154	518	2824
155	519	2812
156	521	2802
157	524	2795
158	527	2788
159	529	2782
160	531	2768
161	534	2762
162	536	2757
163	540	2752
164	543	2750
165	546	2746
166	549	2740
167	551	2729
168	553	2723
169	555	2713
170	558	2705
171	559	2692
172	561	2682
173	563	2673
174	565	2665
175	566	2653
176	568	2641
177	569	2629
178	571	2619
179	572	2606
180	573	2596
181	574	2584
182	576	2572
183	577	2561
184	578	2549
185	580	2538
186	582	2530
187	583	2518
188	584	2507
189	585	2495
190	586	2484
191	587	2472
192	588	2460
193	589	2450
194	590	2438
195	591	2427
196	592	2416
197	594	2407
198	596	2399
199	597	2388
200	598	2380
201	599	2370
202	601	2359
203	602	2351
204	603	2341
205	604	2331
206	606	2322
207	607	2312
208	608	2304
209	610	2295
210	611	2286
211	613	2279
212	614	2271
213	616	2264
214	617	2255
215	619	2247
216	620	2239
217	622	2231
218	623	2223
219	624	2215
220	626	2206
221	627	2198
222	628	2191
223	630	2184
224	631	2175
225	632	2166
226	633	2158
227	634	2149
228	635	2141
229	637	2135
230	638	2127
231	640	2118
232	641	2112
233	642	2104
234	643	2096
235	644	2087
236	646	2080
237	647	2072
238	648	2064
239	649	2056
240	650	2048
241	651	2041
242	652	2033
243	653	2025
244	655	2019
245	657	2014
246	658	2008
247	660	2002
248	662	1997
249	664	1994
250	665	1986
251	667	1980
252	669	1977
253	671	1971
254	675	1972
255	678	1970
256	681	1968
257	683	1967
258	686	1963
259	688	1960
260	690	1955
261	691	1949
262	693	1943
263	694	1937
264	696	1931
265	697	1925
266	699	1919
267	700	1913
268	701	1907
269	703	1903
270	705	1898
271	707	1892
272	708	1886
273	709	1880
274	710	1874
275	711	1867
276	713	1861
277	714	1855
278	715	1849
279	717	1844
280	719	1840
281	720	1834
282	721	1827
283	723	1822
284	724	1817
285	726	1814
286	729	1811
287	730	1807
288	733	1803
289	734	1798
290	736	1795
291	739	1792
292	741	1788
293	743	1786
294	746	1783
295	749	1783
296	752	1780
297	754	1778
298	758	1777
299	760	1774
300	762	1770
301	763	1765
302	765	1759
303	766	1755
304	768	1750
305	770	1747
306	771	1741
307	772	1736
308	774	1732
309	775	1727
310	777	1723
311	779	1718
312	780	1713
313	781	1707
314	783	1703
315	784	1698
316	786	1694
317	788	1691
318	790	1688
319	792	1684
320	794	1680
321	795	1675
322	798	1673
323	801	1671
324	803	1667
325	805	1664
326	807	1662
327	809	1657
328	810	1653
329	812	1648
330	813	1645
331	815	1641
332	817	1636
333	818	1632
334	820	1629
335	822	1625
336	824	1622
337	826	1618
338	829	1616
339	830	1612
340	832	1609
341	834	1605
342	836	1602
343	839	1599
344	840	1596
345	842	1593
346	845	1590
347	847	1587
348	849	1584
349	851	1581
350	853	1578
351	856	1576
352	858	1573
353	860	1571
354	863	1569
355	867	1568
356	870	1567
357	872	1565
358	875	1563
359	878	1561
360	881	1559
361	883	1557
362	886	1555
363	888	1552
364	892	1552
365	895	1550
366	897	1548
367	900	1546
368	903	1544
369	906	1542
370	909	1542
371	913	1541
372	916	1540
373	918	1537
374	922	1536
375	924	1534
376	926	1531
377	929	1529
378	932	1527
379	934	1525
380	937	1523
381	940	1521
382	943	1519
383	946	1518
384	949	1517
385	952	1515
386	956	1514
387	959	1513
388	962	1511
389	965	1510
390	968	1508
391	971	1506
392	974	1505
393	976	1502
394	979	1499
395	982	1498
396	985	1497
397	988	1495
398	991	1493
399	995	1493
400	998	1491
401	1000	1488
402	1004	1487
403	1007	1486
404	1011	1485
405	1014	1484
406	1018	1483
407	1022	1483
408	1025	1481
409	1028	1479
410	1030	1476
411	1032	1474
412	1036	1473
413	1040	1472
414	1044	1471
415	1047	1471
416	1051	1469
417	1053	1467
418	1056	1465
419	1060	1464
420	1062	1461
421	1066	1460
422	1070	1460
423	1074	1459
424	1078	1459
425	1081	1457
426	1084	1455
427	1086	1452
428	1089	1449
429	1092	1448
430	1095	1446
431	1099	1446
432	1102	1443
433	1105	1441
434	1108	1440
435	1111	1437
436	1114	1436
437	1116	1433
438	1118	1429
439	1120	1425
440	1121	1422
441	1123	1418
442	1126	1416
443	1128	1412
444	1129	1408
445	1131	1405
446	1132	1401
447	1133	1397
448	1135	1393
449	1136	1388
450	1137	1384
451	1138	1380
452	1139	1375
453	1141	1372
454	1142	1368
455	1143	1363
456	1144	1359
457	1145	1356
458	1147	1351
459	1148	1347
460	1149	1343
461	1150	1339
462	1151	1335
463	1152	1331
464	1153	1327
465	1154	1323
466	1156	1319
467	1157	1315
468	1158	1311
469	1159	1307
470	1161	1304
471	1162	1300
472	1164	1296
473	1164	1292
474	1166	1289
475	1168	1285
476	1169	1282
477	1172	1280
478	1173	1276
479	1175	1273
480	1176	1269
481	1178	1266
482	1179	1262
483	1180	1258
484	1182	1255
485	1183	1251
486	1184	1247
487	1185	1243
488	1186	1239
489	1186	1235
490	1188	1231
491	1189	1227
492	1190	1223
493	1190	1219
494	1191	1216
495	1192	1212
496	1193	1208
497	1195	1204
498	1196	1200
499	1197	1197
500	1198	1193
501	1198	1189
502	1199	1185
503	1200	1181
504	1201	1177
505	1202	1173
506	1203	1170
507	1204	1166
508	1205	1162
509	1207	1159
510	1208	1156
511	1209	1153
512	1211	1149
513	1211	1145
514	1212	1142
515	1213	1138
516	1215	1135
517	1216	1132
518	1218	1129
519	1219	1125
520	1220	1121
521	1222	1119
522	1223	1115
523	1224	1112
524	1225	1108
525	1226	1105
526	1229	1103
527	1231	1101
528	1233	1098
529	1236	1096
530	1238	1094
531	1240	1091
532	1243	1089
533	1246	1087
534	1248	1085
535	1251	1083
536	1254	1081
537	1258	1080
538	1260	1077
539	1262	1075
540	1265	1073
541	1269	1072
542	1272	1071
543	1275	1069
544	1277	1066
545	1280	1065
546	1284	1063
547	1287	1061
548	1290	1060
549	1294	1058
550	1296	1056
551	1299	1054
552	1302	1052
553	1305	1051
554	1309	1049
555	1313	1048
556	1316	1047
557	1320	1045
558	1323	1044
559	1326	1042
560	1329	1040
561	1331	1038
562	1334	1035
563	1337	1034
564	1341	1032
565	1344	1031
566	1348	1030
567	1352	1028
568	1355	1026
569	1357	1024
570	1359	1021
571	1362	1019
572	1364	1016
573	1366	1014
574	1368	1011
575	1370	1009
576	1373	1006
577	1374	1003
578	1377	1001
579	1379	998
580	1381	996
581	1383	993
582	1385	991
583	1387	988
584	1389	985
585	1391	983
586	1393	980
587	1395	977
588	1397	975
589	1399	972
590	1401	970
591	1403	967
592	1405	964
593	1407	962
594	1409	959
595	1411	957
596	1413	954
597	1415	951
598	1417	949
599	1419	946
600	1421	944
601	1423	941
602	1426	939
603	1428	936
604	1430	934
605	1432	931
606	1434	928
607	1436	926
608	1438	923
609	1440	920
610	1442	918
611	1444	915
612	1446	913
613	1448	910
614	1450	908
615	1452	905
616	1454	902
617	1456	900
618	1458	897
619	1460	895
620	1462	892
621	1464	890
622	1466	887
623	1468	885
624	1470	882
625	1473	880
626	1475	877
627	1477	875
628	1480	872
629	1481	870
630	1483	867
631	1485	865
632	1487	862
633	1490	860
634	1492	857
635	1493	855
636	1495	852
637	1497	849
638	1500	847
639	1502	844
640	1504	842
641	1506	840
642	1508	837
643	1510	835
644	1512	832
645	1514	830
646	1516	827
647	1518	824
648	1520	822
649	1522	819
650	1524	817
651	1527	815
652	1529	812
653	1531	810
654	1533	807
655	1535	805
656	1537	802
657	1539	800
658	1541	797
659	1543	795
660	1545	792
661	1547	790
662	1550	787
663	1551	785
664	1554	783
665	1556	780
666	1558	778
667	1560	775
668	1562	772
669	1564	770
670	1566	767
671	1568	765
672	1570	763
673	1572	760
674	1574	758
675	1576	755
676	1578	753
677	1580	750
678	1582	748
679	1584	745
680	1586	743
681	1588	740
682	1590	738
683	1592	735
684	1594	733
685	1596	730
686	1598	728
687	1600	725
688	1602	723
689	1604	720
690	1607	718
691	1608	716
692	1610	713
693	1613	711
694	1615	708
695	1617	706
696	1619	704
697	1621	701
698	1624	699
699	1626	696
700	1628	694
701	1630	692
702	1632	689
703	1634	687
704	1636	684
705	1639	682
706	1641	680
707	1643	677
708	1645	675
709	1647	672
710	1649	670
711	1651	667
712	1653	665
713	1655	663
714	1657	660
715	1659	658
716	1662	655
717	1663	653
718	1665	651
719	1667	648
720	1670	646
721	1672	643
722	1674	641
723	1676	639
724	1679	636
725	1681	634
726	1683	632
727	1686	630
728	1689	628
729	1692	626
730	1695	623
731	1697	621
732	1700	619
733	1703	617
734	1706	615
735	1709	613
736	1712	610
737	1715	608
738	1717	606
739	1719	604
740	1721	601
741	1724	599
742	1727	597
743	1730	595
744	1732	593
745	1735	590
746	1736	588
747	1738	585
748	1740	583
749	1741	580
750	1742	577
751	1744	575
752	1745	572
753	1747	570
754	1748	567
755	1750	565
756	1752	562
757	1754	560
758	1755	557
759	1756	554
760	1757	551
761	1758	549
762	1759	546
763	1760	543
764	1762	541
765	1763	538
766	1764	536
767	1766	533
768	1767	530
769	1768	528
770	1769	525
771	1770	523
772	1772	520
773	1774	518
774	1775	515
775	1776	512
776	1778	510
777	1779	507
778	1781	505
779	1782	502
780	1783	500
781	1784	497
782	1785	494
783	1786	492
784	1788	489
785	1789	487
786	1790	484
787	1791	481
788	1792	479
789	1793	476
790	1794	474
791	1796	471
792	1797	469
793	1798	466
794	1799	464
795	1800	461
796	1801	458
797	1802	456
798	1803	453
799	1804	451
800	1805	448
801	1806	445
802	1807	443
803	1808	440
804	1809	438
805	1810	435
806	1811	433
807	1812	430
808	1813	428
809	1813	425
810	1814	422
811	1815	420
812	1817	417
813	1818	415
814	1819	413
815	1820	410
816	1821	408
817	1822	405
818	1823	403
819	1824	400
820	1825	398
821	1826	395
822	1828	393
823	1829	390
824	1830	388
825	1832	385
826	1833	383
827	1835	381
828	1837	378
829	1839	376
830	1841	374
831	1842	372
832	1843	369
833	1845	367
834	1847	365
835	1849	362
836	1851	360
837	1853	358
838	1854	355
839	1856	353
840	1858	351
841	1859	349
842	1861	346
843	1863	344
844	1866	342
845	1867	340
846	1870	337
847	1871	335
848	1873	333
849	1875	330
850	1877	328
851	1879	326
852	1881	324
853	1883	322
854	1885	319
855	1887	317
856	1890	315
857	1892	313
858	1894	310
859	1896	308
860	1898	306
861	1901	304
862	1903	302
863	1905	299
864	1907	297
865	1909	295
866	1911	293
867	1913	290
868	1915	288
869	1917	286
870	1919	284
871	1921	282
872	1923	279
873	1925	277
874	1928	275
875	1929	273
876	1932	270
877	1934	268
878	1936	266
879	1938	264
880	1940	262
881	1942	259
882	1944	257
883	1946	255
884	1949	253
885	1951	251
886	1953	248
887	1954	246
888	1956	244
889	1959	242
890	1961	239
891	1963	237
892	1965	235
893	1967	233
894	1969	231
895	1971	228
896	1974	226
897	1976	224
898	1978	222
899	1980	220
900	1982	217
901	1984	215
902	1986	213
903	1988	211
904	1991	209
905	1993	206
906	1995	204
907	1996	202
908	1998	200
909	2001	197
910	2003	195
911	2005	193
912	2007	191
913	2009	189
914	2012	186
915	2014	184
916	2016	182
917	2018	180
918	2019	178
919	2022	175
920	2024	173
921	2026	171
922	2028	169
923	2030	166
924	2032	164
925	2034	162
926	2036	160
927	2038	158
928	2040	155
929	2042	153
930	2044	151
931	2047	149
932	2049	147
933	2051	144
934	2052	142
935	2054	140
936	2057	138
937	2059	136
938	2060	133
939	2062	131
940	2064	129
941	2067	127
942	2068	125
943	2070	122
944	2073	120
945	2075	118
946	2077	116
947	2079	114
948	2081	111
949	2083	109
950	2085	107
951	2088	105
952	2089	103
953	2092	100
954	2094	98
955	2096	96
956	2098	94
957	2099	92
958	2102	89
959	2104	87
960	2106	85
961	2108	83
962	2110	81
963	2112	78
964	2114	76
965	2116	74
966	2118	72
967	2120	70
968	2123	67
969	2124	65
970	2126	63
971	2128	61
972	2131	59
973	2133	56
974	2135	54
975	2137	52
976	2140	50
977	2142	48
978	2144	46
979	2147	43
980	2149	41
981	2151	39
982	2154	37
983	2156	35
984	2159	32
985	2161	30
986	2164	28
987	2166	26
988	2169	24
989	2171	21
990	2173	19
991	2175	17
992	2177	15
993	2179	13
994	2182	10
995	2184	8
996	2186	6
997	2188	4
998	2190	2
999	2192	0
